,x,y,Filename,Time,refc,uh,Mode
0,261,548,10021991_T22_0id.npy,1991-10-02T22:00:00.000000000,47.52954,79.36595,Cellular
1,262,548,10021991_T22_1id.npy,1991-10-02T22:00:00.000000000,45.50953,66.78748,Cellular
2,260,549,10021991_T22_2id.npy,1991-10-02T22:00:00.000000000,48.55693,67.85011,Cellular
3,261,549,10021991_T22_3id.npy,1991-10-02T22:00:00.000000000,56.937073,75.43686,Cellular
4,260,550,10021991_T22_4id.npy,1991-10-02T22:00:00.000000000,56.791267,67.81167,Cellular
5,261,550,10021991_T22_5id.npy,1991-10-02T22:00:00.000000000,53.00486,70.29396,Cellular
6,260,551,10021991_T22_6id.npy,1991-10-02T22:00:00.000000000,48.854977,69.48979,Cellular
7,553,399,10101991_T01_7id.npy,1991-10-10T01:00:00.000000000,47.561363,65.47416,Cellular
8,572,400,10101991_T01_8id.npy,1991-10-10T01:00:00.000000000,52.8212,86.80926,Cellular
9,573,400,10101991_T01_9id.npy,1991-10-10T01:00:00.000000000,52.321163,86.2151,Cellular
10,572,401,10101991_T01_10id.npy,1991-10-10T01:00:00.000000000,56.57124,67.95249,Cellular
11,573,401,10101991_T01_11id.npy,1991-10-10T01:00:00.000000000,53.06806,75.40436,Cellular
12,563,396,10101991_T02_12id.npy,1991-10-10T02:00:00.000000000,51.755123,70.418365,Multicell
13,559,397,10101991_T02_13id.npy,1991-10-10T02:00:00.000000000,48.883972,79.70171,Multicell
14,560,397,10101991_T02_14id.npy,1991-10-10T02:00:00.000000000,49.843597,86.40406,Multicell
15,561,397,10101991_T02_15id.npy,1991-10-10T02:00:00.000000000,51.499844,94.7701,Multicell
16,562,397,10101991_T02_16id.npy,1991-10-10T02:00:00.000000000,58.387688,102.552826,Multicell
17,563,397,10101991_T02_17id.npy,1991-10-10T02:00:00.000000000,56.41667,108.35916,Multicell
18,558,398,10101991_T02_18id.npy,1991-10-10T02:00:00.000000000,46.06893,84.15948,Multicell
